"name","assetPath","previewPath","weaponClass","weaponModelType","promptCategory","colorNotes","prompt"
"Verdant Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Verdant Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Verdant Axe.png","StraightSword","Weapon","axe","Color map: pommel/end cap is charcoal; lower handle and wraps are charcoal; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal.","Create a single game inventory icon PNG of 'Verdant Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: pommel/end cap is charcoal; lower handle and wraps are charcoal; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"War Banner 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/War Banner 01.png","Spear","Weapon","polearm","Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal.","Create a single game inventory icon PNG of 'War Banner 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"War Banner 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/War Banner 02.png","Spear","Weapon","polearm","Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal.","Create a single game inventory icon PNG of 'War Banner 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"War Banner 03","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 03.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/War Banner 03.png","Spear","Weapon","polearm","Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal.","Create a single game inventory icon PNG of 'War Banner 03'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"War Banner 04","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 04.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/War Banner 04.png","Spear","Weapon","polearm","Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal.","Create a single game inventory icon PNG of 'War Banner 04'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"War Banner 05","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 05.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/War Banner 05.png","Spear","Weapon","polearm","Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal.","Create a single game inventory icon PNG of 'War Banner 05'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Wooden Glaive","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Wooden Glaive.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Wooden Glaive.png","Spear","Weapon","polearm","Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal.","Create a single game inventory icon PNG of 'Wooden Glaive'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Wooden Great Hammer","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Wooden Great Hammer.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Wooden Great Hammer.png","StraightSword","Weapon","blunt","Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Wooden Great Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Archer Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Archer Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Archer Shield.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Archer Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Banded Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Banded Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Banded Shield.png","LightShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Banded Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Banded Tower Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Banded Tower Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Banded Tower Shield.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Banded Tower Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Beast Crest Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Beast Crest Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Beast Crest Shield.png","LightShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Beast Crest Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Beast Tower Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Beast Tower Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Beast Tower Shield.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Beast Tower Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Chevron Tower Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Chevron Tower Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Chevron Tower Shield.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Chevron Tower Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Cross Shield 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Shield 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Cross Shield 02.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Cross Shield 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Cross Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Cross Shield.png","LightShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Cross Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Cross Tower Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Tower Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Cross Tower Shield.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Cross Tower Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Crown Shield 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Shield 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crown Shield 02.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Crown Shield 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Crown Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crown Shield.png","LightShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Crown Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Crown Tower Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Tower Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crown Tower Shield.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Crown Tower Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Crusader Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crusader Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crusader Shield.png","LightShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Crusader Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Dagger","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Dagger.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Dagger.png","StraightSword","Weapon","dagger","Color map: blade tip is brown-gray; blade body is charcoal; guard is charcoal; grip is charcoal; pommel is charcoal.","Create a single game inventory icon PNG of 'Dagger'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade tip is brown-gray; blade body is charcoal; guard is charcoal; grip is charcoal; pommel is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Fleur Shield 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Shield 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Fleur Shield 02.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Fleur Shield 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Fleur Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Fleur Shield.png","LightShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Fleur Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Fleur Tower Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Tower Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Fleur Tower Shield.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Fleur Tower Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Greatsword","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Greatsword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Greatsword.png","StraightSword","Weapon","greatsword","Color map: blade tip is brown-gray; main blade body is charcoal; guard is charcoal; grip is charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Greatsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade tip is brown-gray; main blade body is charcoal; guard is charcoal; grip is charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
